gender,weapon,team_a_id,team_b_id,fencer_a_name,score_a,fencer_b_name,score_b,order,ncaa_status,fencer_a_id,fencer_b_id,id,match_id,index
women,foil,ohiostate,denison,Raiyan Moradi-Bidhendi,5,Lal Ertun,3,1,TRUE,170,192,82,3,55
women,foil,ohiostate,denison,Claire Teresa Galavotti,5,Velma Hall,2,2,TRUE,152,193,83,3,56
women,foil,ohiostate,denison,Miranda Freedman,5,Bella Musto,0,3,TRUE,150,198,84,3,57
women,foil,ohiostate,denison,Claire Teresa Galavotti,5,Lal Ertun,3,4,TRUE,152,192,85,3,58
women,foil,ohiostate,denison,Raiyan Moradi-Bidhendi,5,Bella Musto,2,5,TRUE,170,198,86,3,59
women,foil,ohiostate,denison,Miranda Freedman,5,Velma Hall,0,6,TRUE,150,193,87,3,60
women,foil,ohiostate,denison,Claire Teresa Galavotti,5,Alaina Cabalu,0,7,TRUE,152,190,88,3,61
women,foil,ohiostate,denison,Anna Heiser,5,Lal Ertun,4,8,TRUE,155,192,89,3,62
women,foil,ohiostate,denison,Raiyan Moradi-Bidhendi,4,Velma Hall,5,9,TRUE,170,193,90,3,63
women,epee,ohiostate,denison,Julia Semikin,5,Nicole Krumholz ,2,1,TRUE,178,,91,3,64
women,epee,ohiostate,denison,Lucy Whittemore,1,Claire Anderson,5,2,TRUE,183,188,92,3,65
women,epee,ohiostate,denison,Sally Fan,5,Chi Chi Agu,1,3,TRUE,148,187,93,3,66
women,epee,ohiostate,denison,Lucy Whittemore,5,Nicole Krumholz,3,4,TRUE,183,196,94,3,67
women,epee,ohiostate,denison,Julia Semikin,5,Chi Chi Agu,2,5,TRUE,178,187,95,3,68
women,epee,ohiostate,denison,Sally Fan,5,Claire Anderson,4,6,TRUE,148,188,96,3,69
women,epee,ohiostate,denison,Lucy Whittemore,5,Chi Chi Agu,3,7,TRUE,183,187,97,3,70
women,epee,ohiostate,denison,Catherine Popa,4,Nicole Krumholz,5,8,TRUE,172,196,98,3,71
