Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
fdu,21,7,8,6,ccny,6,2,1,3,2024-02-11,fdu
fdu,22,9,7,6,yeshiva,4,0,2,2,2024-02-11,fdu
njit,22,8,8,6,ccny,5,1,1,3,2024-02-11,fdu
drew,22,6,8,8,hunter,5,3,1,1,2024-02-11,fdu
stevens,27,9,9,9,yeshiva,0,0,0,0,2024-02-11,fdu
njit,22,7,9,6,fdu,4,2,0,2,2024-02-11,fdu
drew,22,6,7,9,ccny,5,3,2,0,2024-02-11,fdu
njit,14,7,5,2,drew,13,2,4,7,2024-02-11,fdu
hunter,16,9,5,2,yeshiva,4,0,4,0,2024-02-11,fdu
stevens,26,9,8,9,ccny,1,0,1,0,2024-02-11,fdu
drew,15,6,4,5,fdu,9,3,5,1,2024-02-11,fdu
stevens,22,7,7,8,hunter,5,2,2,1,2024-02-11,fdu
njit,24,9,9,6,yeshiva,1,0,0,1,2024-02-11,fdu
hunter,18,6,8,4,ccny,9,3,1,5,2024-02-11,fdu
drew,23,9,7,7,yeshiva,4,0,2,2,2024-02-11,fdu
stevens,20,6,9,5,fdu,5,3,1,1,2024-02-11,fdu
ccny,18,8,4,6,yeshiva,9,1,5,3,2024-02-11,fdu
fdu,13,4,7,2,hunter,9,5,2,2,2024-02-11,fdu
brandeis,14,2,5,7,AirForce,13,7,4,2,2024-02-11,duke
duke,20,7,6,7,johnshopkins,7,2,3,2,2024-02-11,duke
temple,19,5,6,8,AirForce,8,4,3,1,2024-02-11,duke
duke,22,8,8,6,brandeis,5,1,1,3,2024-02-11,duke
duke,14,7,3,4,temple,13,2,6,5,2024-02-11,duke
johnshopkins,14,4,5,5,brandeis,13,5,4,4,2024-02-11,duke
AirForce,18,8,7,3,johnshopkins,9,1,2,6,2024-02-11,duke
temple,22,7,9,6,brandeis,5,2,0,3,2024-02-11,duke
duke,17,5,4,8,AirForce,10,4,5,1,2024-02-11,duke
temple,16,6,5,5,johnshopkins,11,3,4,4,2024-02-11,duke
stevens,20,6,6,8,drew,7,3,3,1,2024-02-11,fdu
