Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
ohiostate,22,9,7,6,incarnateword,5,0,2,3,2024-02-04,northwestern
AirForce,25,9,9,7,lawrence,2,0,0,2,2024-02-04,northwestern
ucsd,19,8,4,7,waynestate,8,1,5,2,2024-02-04,northwestern
bostoncollege,17,8,4,5,incarnateword,10,1,5,4,2024-02-04,northwestern
ucsd,25,9,8,8,lawrence,2,0,1,1,2024-02-04,northwestern
stanford,14,3,6,5,AirForce,13,6,3,4,2024-02-04,northwestern
AirForce,16,6,7,3,bostoncollege,11,3,2,6,2024-02-04,northwestern
njit,27,9,9,9,yeshiva,0,0,0,0,2024-02-04,stevens
stevens,24,7,8,9,hunter,3,2,1,0,2024-02-04,stevens
njit,20,8,4,8,stevens,7,1,5,1,2024-02-04,stevens
hunter,17,9,5,3,yeshiva,10,0,4,6,2024-02-04,stevens
njit,26,8,9,9,hunter,1,1,0,0,2024-02-04,stevens
stevens,24,9,8,7,yeshiva,3,0,1,2,2024-02-04,stevens
wagner,15,3,6,6,vassar,12,6,3,3,2024-02-04,wagner
columbia,18,8,6,4,wagner,9,1,3,5,2024-02-04,wagner
columbia,18,6,5,7,lafayette,9,3,4,2,2024-02-04,wagner
columbia,18,6,7,5,drew,9,3,2,4,2024-02-04,wagner
lafayette,14,5,7,2,drew,13,4,2,7,2024-02-04,wagner
wagner,14,1,4,9,lafayette,13,8,5,0,2024-02-04,wagner
wagner,14,0,7,7,drew,13,9,2,2,2024-02-04,wagner
bostoncollege,14,3,3,8,ucsd,13,6,6,1,2024-02-03,northwestern
AirForce,19,7,5,7,clevelandstate,8,2,4,2,2024-02-03,northwestern
AirForce,24,9,7,8,detroitmercy,3,0,2,1,2024-02-03,northwestern
bostoncollege,17,9,4,4,clevelandstate,10,0,5,5,2024-02-03,northwestern
ucsd,15,7,2,6,waynestate,12,2,7,3,2024-02-03,northwestern
bostoncollege,17,5,6,6,notredame,10,4,3,3,2024-02-03,northwestern
AirForce,17,8,3,6,waynestate,10,1,6,3,2024-02-03,northwestern
ucsd,24,9,9,6,lawrence,3,0,0,3,2024-02-03,northwestern
