gender,weapon,team_a_id,team_b_id,fencer_a_name,score_a,fencer_b_name,score_b,order,ncaa_status,fencer_a_id,fencer_b_id,id,match_id,index,
women,saber,ohiostate,clevelandstate,Grace Fan,,,,1,TRUE,147,BYE,46,2,46,
women,saber,ohiostate,clevelandstate,Katherine Larimer,5,Aubrey Testroet,2,2,TRUE,160,123,47,2,47,
women,saber,ohiostate,clevelandstate,Hamsika Arnipalli,5,Samantha Way,4,3,TRUE,140,124,48,2,48,
women,saber,ohiostate,clevelandstate,Katherine Larimer,,,,4,TRUE,160,BYE,49,2,49,
women,saber,ohiostate,clevelandstate,Grace Fan,3,Samantha Way,5,5,TRUE,147,124,50,2,50,
women,saber,ohiostate,clevelandstate,Hamsika Arnipalli,5,Aubrey Testroet,1,6,TRUE,140,123,51,2,51,
women,saber,ohiostate,clevelandstate,Katherine Larimer,5,Samantha Way,4,7,TRUE,160,124,52,2,52,
women,saber,ohiostate,clevelandstate,Hamsika Arnipalli,,,,8,TRUE,140,BYE,53,2,53,
women,saber,ohiostate,clevelandstate,Grace Fan,5,Aubrey Testroet,1,9,TRUE,147,123,54,2,54,
women,foil,ohiostate,denison,Raiyan Moradi-Bidhendi,5,Lal Ertun,3,1,TRUE,170,192,55,3,55,
women,foil,ohiostate,denison,Claire Teresa Galavotti,5,Velma Hall,2,2,TRUE,152,193,56,3,56,
women,foil,ohiostate,denison,Miranda Freedman,5,Bella Musto,0,3,TRUE,150,198,57,3,57,
women,foil,ohiostate,denison,Claire Teresa Galavotti,5,Lal Ertun,3,4,TRUE,152,192,58,3,58,
women,foil,ohiostate,denison,Raiyan Moradi-Bidhendi,5,Bella Musto,2,5,TRUE,170,198,59,3,59,
women,foil,ohiostate,denison,Miranda Freedman,5,Velma Hall,0,6,TRUE,150,193,60,3,60,
women,foil,ohiostate,denison,Claire Teresa Galavotti,5,Alaina Cabalu,0,7,TRUE,152,190,61,3,61,
women,foil,ohiostate,denison,Anna Heiser,5,Lal Ertun,4,8,TRUE,155,192,62,3,62,
women,foil,ohiostate,denison,Raiyan Moradi-Bidhendi,4,Velma Hall,5,9,TRUE,170,193,63,3,63,
women,epee,ohiostate,denison,Julia Semikin,5,Nicole Krumholz,2,1,TRUE,178,196,64,3,64,
women,epee,ohiostate,denison,Lucy Whittemore,1,Claire Anderson,5,2,TRUE,183,188,65,3,65,
women,epee,ohiostate,denison,Sally Fan,5,Chi Chi Agu,1,3,TRUE,148,187,66,3,66,
women,epee,ohiostate,denison,Lucy Whittemore,5,Nicole Krumholz,3,4,TRUE,183,196,67,3,67,
women,epee,ohiostate,denison,Julia Semikin,5,Chi Chi Agu,2,5,TRUE,178,187,68,3,68,
women,epee,ohiostate,denison,Sally Fan,5,Claire Anderson,4,6,TRUE,148,188,69,3,69,
women,epee,ohiostate,denison,Lucy Whittemore,5,Chi Chi Agu,3,7,TRUE,183,187,70,3,70,
women,epee,ohiostate,denison,Catherine Popa,4,Nicole Krumholz,5,8,TRUE,172,196,71,3,71,
women,epee,ohiostate,denison,Erika Gumagay,5,Claire Anderson,2,9,TRUE,154,188,72,3,72,
women,saber,ohiostate,denison,Grace Fan,5,Corvus Endo,0,1,TRUE,147,191,73,3,73,
women,saber,ohiostate,denison,Maria Alexe,2,Natalie Isberg,5,2,TRUE,138,194,74,3,74,
women,saber,ohiostate,denison,Katherine Larimer,5,Joyce Yu,1,3,TRUE,160,203,75,3,75,
women,saber,ohiostate,denison,Maria Alexe,2,Corvus Endo,5,4,TRUE,138,191,76,3,76,
women,saber,ohiostate,denison,Grace Fan,5,Joyce Yu,4,5,TRUE,147,203,77,3,77,
women,saber,ohiostate,denison,Katherine Larimer,2,Natalie Isberg,5,6,TRUE,160,194,78,3,78,
women,saber,ohiostate,denison,Maria Alexe,5,Joyce Yu,2,7,TRUE,138,203,79,3,79,
women,saber,ohiostate,denison,Katherine Larimer,3,Corvus Endo,5,8,TRUE,160,191,80,3,80,
women,saber,ohiostate,denison,Grace Fan,5,Natalie Isberg,1,9,TRUE,147,194,81,3,81,
women,foil,clevelandstate,denison,Anna Quinn,2,Lal Ertun,5,1,TRUE,121,192,82,4,82,
women,foil,clevelandstate,denison,,,Velma Hall,,2,TRUE,BYE,193,83,4,83,
women,foil,clevelandstate,denison,Evelyn Malvestuto,5,Bella Musto,4,3,TRUE,116,198,84,4,84,
women,foil,clevelandstate,denison,,,Lal Ertun,,4,TRUE,BYE,192,85,4,85,
women,foil,clevelandstate,denison,Anna Quinn,2,Alaina Cabalu,5,5,TRUE,121,190,86,4,86,
women,foil,clevelandstate,denison,Evelyn Malvestuto,0,Velma Hall,5,6,TRUE,116,193,87,4,87,
women,foil,clevelandstate,denison,,,Bella Musto,,7,TRUE,BYE,198,88,4,88,
women,foil,clevelandstate,denison,Evelyn Malvestuto,1,Lal Ertun,5,8,TRUE,116,192,89,4,89,
women,foil,clevelandstate,denison,Anna Quinn,5,Velma Hall,4,9,TRUE,121,193,90,4,90,
women,epee,clevelandstate,denison,Rayllen Prafil Capaccio,5,Chi Chi Agu,0,1,TRUE,120,187,91,4,91,
women,epee,clevelandstate,denison,Maggie Mihill,4,Claire Anderson,5,2,TRUE,118,188,92,4,92,
women,epee,clevelandstate,denison,Maia Taylor Casamayor,3,Nicole Krumholz,5,3,TRUE,122,196,93,4,93,
women,epee,clevelandstate,denison,Maggie Mihill,4,Chi Chi Agu,5,4,TRUE,118,187,94,4,94,
women,epee,clevelandstate,denison,Rayllen Prafil Capaccio,3,Nicole Krumholz,2,5,TRUE,120,196,95,4,95,
women,epee,clevelandstate,denison,Maia Taylor Casamayor,5,Claire Anderson,2,6,TRUE,122,188,96,4,96,
women,epee,clevelandstate,denison,Maggie Mihill,4,Nicole Krumholz,5,7,TRUE,118,196,97,4,97,
women,epee,clevelandstate,denison,Maia Taylor Casamayor,4,Chi Chi Agu,5,8,TRUE,122,187,98,4,98,
women,epee,clevelandstate,denison,Rayllen Prafil Capaccio,4,Claire Anderson,5,9,TRUE,120,188,99,4,99,
women,saber,clevelandstate,denison,,,Corvus Endo,,1,TRUE,BYE,191,100,4,100,
women,saber,clevelandstate,denison,Aubrey Testroet,5,Joyce Yu,3,2,TRUE,123,203,101,4,101,
women,saber,clevelandstate,denison,Samantha Way,1,Natalie Isberg,5,3,TRUE,124,194,102,4,102,
women,saber,clevelandstate,denison,Aubrey Testroet,4,Corvus Endo,5,4,TRUE,123,191,103,4,103,
women,saber,clevelandstate,denison,,,Natalie Isberg,,5,TRUE,BYE,194,104,4,104,
women,saber,clevelandstate,denison,Samantha Way,2,Joyce Yu,5,6,TRUE,124,203,105,4,105,
women,saber,clevelandstate,denison,Aubrey Testroet,5,Natalie Isberg,3,7,TRUE,123,194,106,4,106,
women,saber,clevelandstate,denison,Samantha Way,2,Corvus Endo,5,8,TRUE,124,191,107,4,107,
women,saber,clevelandstate,denison,,,Joyce Yu,,9,TRUE,BYE,203,108,4,108,
