Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber
Drew,18,3,8,7,MIT,9,6,1,2
Drew,18,8,7,3,Lawrence,9,1,2,6
MIT,19,8,7,4,Vassar,8,1,2,5
MIT,15,9,2,4,Wagner,12,0,7,5
Brandeis,14,0,6,8,Vassar,13,9,3,1
Brandeis,17,9,2,6,Wagner,10,0,7,3
MIT,17,6,8,3,Brandeis,10,3,1,6
Vassar,14,9,2,3,Wagner,13,0,7,6
Johns Hopkins,21,7,9,5,Stevens,6,2,0,4
MIT,18,8,5,5,Brandeis,9,1,4,4
Drew,15,7,5,3,Wagner,12,2,4,6
Haverford,23,8,7,8,Hunter,4,1,2,1
Johns Hopkins,15,3,6,6,Drew,12,6,3,3
Vassar,25,8,8,9,Hunter,2,1,1,0
Stevens,17,5,6,6,Drew,10,4,3,3
Johns Hopkins,22,8,7,7,Wagner,5,1,2,2
Drew,25,8,9,8,Yeshiva,2,1,0,1
Vassar,15,7,4,4,Stevens,12,2,5,5
Haverford,14,3,6,5,Vassar,13,6,3,4
Johns Hopkins,22,9,4,9,Drew,5,0,5,0
Yeshiva,18,5,4,9,Hunter,9,4,5,0
Haverford,18,8,6,4,Wagner,9,1,3,5
Vassar,23,8,6,9,Yeshiva,4,1,3,0
Haverford,14,4,4,6,Drew,13,5,5,3
Johns Hopkins,20,4,8,8,Vassar,7,5,1,1
Stevens,26,8,9,9,Yeshiva,1,1,0,0
Drew,27,9,9,9,Hunter,0,0,0,0
Wagner,16,5,6,5,Stevens,11,4,3,4
Drew,14,4,6,4,Vassar,13,5,3,5
Drew,25,7,9,9,Yeshiva,2,2,0,0
Drew,19,8,7,4,Wagner,8,1,2,5
Wagner,21,6,6,9,Yeshiva,6,3,3,0
Drew,18,5,8,5,Vassar,9,4,1,4
Stevens,24,7,8,9,Yeshiva,3,2,1,0
Drew,27,9,9,9,Yeshiva,0,0,0,0
Vassar,22,7,7,8,Yeshiva,5,2,2,1
Drew,17,7,4,6,Stevens,10,2,5,3
Stevens,15,3,6,6,Vassar,12,6,3,3
