Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber
NJIT,21,7,8,6,Hunter,5,2,1,2
FDU,22,9,7,6,Yeshiva,4,0,2,2
Drew,22,6,8,8,Hunter,5,3,1,1
NJIT,22,8,8,6,CCNY,5,1,1,3
Drew,22,6,7,9,CCNY,5,3,2,0
NJIT,22,7,9,6,FDU,4,2,0,2
Stevens,27,9,9,9,Yeshiva,0,0,0,0
Stevens,26,9,8,9,CCNY,1,0,1,0
NJIT,14,7,5,2,Drew,13,2,4,7
Hunter,20,9,5,6,Yeshiva,5,0,4,1
Drew,18,6,4,8,FDU,9,3,5,1
NJIT,24,9,9,6,Yeshiva,1,0,0,1
Stevens,22,7,7,8,Hunter,5,2,2,1
Stevens,23,6,9,8,FDU,4,3,0,1
Hunter,18,6,8,4,CCNY,9,3,1,5
Drew,23,9,7,7,Yeshiva,4,0,2,2
CCNY,18,8,4,6,Yeshiva,9,1,5,3
FDU,15,4,7,4,Hunter,11,5,2,4
Columbia,19,5,7,7,Brown,8,4,2,2
Harvard,15,3,6,6,Cornell,12,6,3,3
Penn,17,5,8,4,Yale,10,4,1,5
Columbia,15,7,3,5,Cornell,12,2,6,4
Princeton,16,5,5,6,Harvard,11,4,4,3
Yale,19,6,8,5,Brown,8,3,1,4
Harvard,17,4,8,5,Brown,10,5,1,4
Columbia,14,5,5,4,Penn,13,4,4,5
Princeton,17,4,5,8,Cornell,10,5,4,1
Penn,23,9,7,7,Brown,4,0,2,2
Princeton,16,2,7,7,Columbia,11,7,2,2
Yale,14,6,5,3,Cornell,13,3,4,6
Princeton,21,4,9,8,Brown,6,5,0,1
Penn,15,7,3,5,Harvard,12,2,6,4
Columbia,20,5,8,7,Yale,7,4,1,2
Cornell,15,3,6,6,Brown,12,6,3,3
Yale,17,8,3,6,Harvard,10,1,6,3
Penn,14,6,4,4,Princeton,13,3,5,5
Columbia,16,8,3,5,Harvard,11,1,6,4
Penn,16,7,6,3,Cornell,11,2,3,6
Princeton,18,5,5,8,Yale,9,4,4,1
NYU,18,5,4,9,LIU,9,4,5,0
Northwestern,18,6,7,5,Temple,9,3,2,4
Boston College,17,6,6,5,North Carolina,10,3,3,4
Northwestern,18,5,6,7,NYU,9,4,3,2
Temple,15,5,5,5,Boston College,12,4,4,4
North Carolina,18,2,7,9,LIU,9,7,2,0
Northwestern,16,3,6,7,Boston College,11,6,3,2
Temple,23,9,6,8,LIU,4,0,3,1
North Carolina,16,6,7,3,NYU,11,3,2,6
Temple,23,7,7,9,NYU,4,2,2,0
Temple,20,9,5,6,North Carolina,7,0,4,3
North Carolina,14,6,5,3,Northwestern,13,3,4,6
Northwestern,23,8,6,9,LIU,4,1,3,0
Boston College,19,7,7,5,NYU,8,2,2,4
Boston College,21,6,6,9,LIU,6,3,3,0
Temple,27,9,9,9,Detroit Mercy,0,0,0,0
Denison,16,9,1,6,Incarnate Word,11,0,8,3
Cornell,22,9,6,7,Lawrence,5,0,3,2
Air Force,27,9,9,9,FDU,0,0,0,0
Northwestern,16,6,4,6,Ohio State,11,3,5,3
UC San Diego,16,5,5,6,Boston College,11,4,4,3
Incarnate Word,15,3,9,3,Lawrence,11,5,0,6
Air Force,26,9,9,8,Detroit Mercy,1,0,0,1
Temple,18,4,5,9,Wayne State,9,5,4,0
Cornell,20,5,8,7,Stanford,7,4,1,2
Ohio State,17,5,6,6,UC San Diego,10,4,3,3
Northwestern,17,4,5,8,Boston College,10,5,4,1
UC San Diego,19,9,1,9,FDU,8,0,8,0
Northwestern,20,8,4,8,Incarnate Word,7,1,5,1
Boston College,18,5,7,6,Denison,9,4,2,3
Stanford,24,9,8,7,Lawrence,3,0,1,2
Cornell,19,5,5,9,Wayne State,8,4,4,0
Temple,17,5,5,7,Air Force,10,4,4,2
Boston College,27,9,9,9,Detroit Mercy,0,0,0,0
Temple,19,7,4,8,Incarnate Word,8,2,5,1
UC San Diego,24,7,9,8,Denison,3,2,0,1
Ohio State,22,9,7,6,Incarnate Word,5,0,2,3
Stanford,25,9,7,9,FDU,2,0,2,0
Northwestern,19,5,7,7,Air Force,8,4,2,2
Cornell,15,4,5,6,Ohio State,12,5,4,3
Cornell,27,9,9,9,Detroit Mercy,0,0,0,0
Stanford,19,7,6,6,Denison,8,2,3,3
Northwestern,25,9,7,9,FDU,2,0,2,0
UC San Diego,23,8,8,7,Lawrence,4,1,1,2
Boston College,16,5,5,6,Air Force,11,4,4,3
Wayne State,16,8,4,4,Incarnate Word,9,1,5,3
Temple,15,4,5,6,Ohio State,12,5,4,3
Stanford,27,9,9,9,Detroit Mercy,0,0,0,0
Lawrence,20,5,6,9,FDU,7,4,3,0
Boston College,14,4,6,4,Ohio State,13,5,3,5
Stevens,17,2,6,9,NJIT,10,7,3,0
Wagner,16,4,6,6,Vassar,11,5,3,3
Columbia,20,8,5,7,Wagner,7,1,4,2
Columbia,26,9,9,8,Lafayette,1,0,0,1
Columbia,25,9,7,9,Drew,2,0,2,0
Drew,19,6,7,6,Lafayette,8,3,2,3
Wagner,21,7,8,6,Lafayette,6,2,1,3
Wagner,19,5,7,7,Drew,8,4,2,2
UC San Diego,27,9,9,9,Detroit Mercy,0,0,0,0
