Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber
Notre Dame,18,9,5,4,Princeton,9,0,4,5
Duke,16,3,5,8,Ohio State,11,6,4,1
Penn,15,6,4,5,Stanford,12,3,5,4
Notre Dame,17,5,4,8,Air Force,10,4,5,1
Ohio State,17,7,8,2,Penn,10,2,1,7
Princeton,14,0,7,7,Duke,13,9,2,2
Northwestern,14,4,4,6,Stanford,13,5,5,3
North Carolina,18,5,8,5,Denison,9,4,1,4
Denison,20,9,4,7,Cleveland State,7,0,5,2
Duke,15,5,5,5,Northwestern,12,4,4,4
Notre Dame,17,5,3,9,Ohio State,10,4,6,0
North Carolina,15,9,3,3,Princeton,12,0,6,6
Penn,19,7,6,6,Air Force,8,2,3,3
Duke,17,6,6,5,Notre Dame,10,3,3,4
Northwestern,19,9,3,7,Cleveland State,8,0,6,2
Denison,14,6,3,5,Ohio State,13,3,6,4
Princeton,16,1,6,9,Air Force,11,8,3,0
Air Force,22,9,5,8,Cleveland State,5,0,4,1
Brown,21,8,7,6,Wagner,6,1,2,3
Tufts,21,7,6,8,Sacred Heart,6,2,3,1
MIT,24,9,6,9,Vassar,3,0,3,0
Brandeis,14,2,6,6,Wellesley,13,7,3,3
Boston College,21,9,6,6,Brandeis,6,0,3,3
Brown,18,7,3,8,Wellesley,9,2,6,1
MIT,20,7,5,8,Wagner,7,2,4,1
Tufts,17,7,4,6,Vassar,10,2,5,3
MIT,17,2,6,9,Boston College,10,7,3,0
Brown,19,7,4,8,Brandeis,8,2,5,1
Wagner,16,6,8,2,Sacred Heart,11,3,1,7
Tufts,15,4,2,9,Wellesley,12,5,7,0
Boston College,24,9,6,9,Vassar,3,0,3,0
Brown,23,8,8,7,Tufts,4,1,1,2
Brandeis,19,8,6,5,Sacred Heart,8,1,3,4
Wagner,16,4,4,8,Wellesley,11,5,5,1
Boston College,19,8,4,7,Wagner,8,1,5,2
MIT,15,4,6,5,Tufts,12,5,3,4
Brown,23,9,7,7,Sacred Heart,4,0,2,2
Brandeis,18,7,4,7,Vassar,9,2,5,2
Boston College,15,5,3,7,Wellesley,12,4,6,2
MIT,23,8,8,7,Sacred Heart,4,1,1,2
Brown,24,8,7,9,Vassar,3,1,2,0
Wagner,16,5,6,5,Brandeis,11,4,3,4
Brown,15,6,3,6,Boston College,12,3,6,3
MIT,21,6,6,9,Wellesley,6,3,3,0
Vassar,17,7,7,3,Sacred Heart,10,2,2,6
Tufts,14,6,4,4,Wagner,13,3,5,5
Boston College,20,8,7,5,Tufts,7,1,2,4
MIT,19,6,7,6,Brandeis,8,3,2,3
Wellesley,18,9,7,2,Sacred Heart,9,0,2,7
Wagner,16,5,3,8,Vassar,11,4,6,1
Boston College,22,9,7,6,Sacred Heart,5,0,2,3
Brandeis,16,6,6,4,Tufts,11,3,3,5
MIT,17,6,7,4,Brown,10,3,2,5
Wellesley,17,8,6,3,Vassar,10,1,3,6
Johns Hopkins,20,5,6,9,NJIT,7,4,3,0
Johns Hopkins,19,8,5,6,Stevens,8,1,4,3
Columbia,22,9,6,7,Stevens,5,0,3,2
Columbia,27,9,9,9,NJIT,0,0,0,0
Columbia,19,4,7,8,Johns Hopkins,8,5,2,1
Boston College,16,7,6,3,Brandeis,11,2,3,6
MIT,15,4,6,5,Boston College,12,5,3,4
Harvard,19,7,8,4,Brandeis,8,2,1,5
MIT,21,8,6,7,Brandeis,6,1,3,2
Harvard,19,7,6,6,Boston College,8,2,3,3
Harvard,19,8,7,4,MIT,8,1,2,5
Stevens,24,7,9,8,Yeshiva,3,2,0,1
Denison,21,9,5,7,Vassar,6,0,4,2
Yale,21,9,5,7,Wagner,6,0,4,2
Cornell,24,9,8,7,Sacred Heart,3,0,1,2
Tufts,25,9,7,9,FDU,2,0,2,0
Wellesley,21,6,7,8,Haverford,6,3,2,1
Drew,24,9,7,8,Hunter,3,0,2,1
Tufts,17,8,2,7,Wagner,10,1,7,2
FDU,23,9,8,6,Yeshiva,4,0,1,3
Johns Hopkins,27,9,9,9,Hunter,0,0,0,0
Yale,25,9,7,9,Drew,2,0,2,0
Stevens,15,5,6,4,Sacred Heart,12,4,3,5
Denison,16,6,2,8,Wellesley,11,3,7,1
Vassar,16,3,8,5,Lafayette,11,6,1,4
Wagner,20,6,8,6,Sacred Heart,7,3,1,3
Haverford,14,4,6,4,Lafayette,13,5,3,5
Cornell,24,9,6,9,Stevens,3,0,3,0
Vassar,24,8,9,7,Hunter,3,1,0,2
Yale,22,6,7,9,Wellesley,5,3,2,0
Johns Hopkins,14,3,5,6,Tufts,13,6,4,3
Drew,14,6,4,4,Vassar,13,3,5,5
Cornell,14,5,3,6,Yale,13,4,6,3
Wellesley,19,6,8,5,Lafayette,8,3,1,4
FDU,21,8,7,6,Hunter,6,1,2,3
Johns Hopkins,14,3,6,5,Denison,13,6,3,4
Tufts,21,9,4,8,Haverford,6,0,5,1
Lafayette,23,9,8,6,Hunter,4,0,1,3
Tufts,18,9,3,6,Drew,9,0,6,3
Johns Hopkins,20,9,6,5,Sacred Heart,7,0,3,4
Yale,22,9,8,5,Stevens,5,0,1,4
Cornell,18,7,8,3,Denison,9,2,1,6
Haverford,22,8,8,6,Yeshiva,5,1,1,3
Yale,22,8,8,6,Johns Hopkins,5,1,1,3
Wagner,17,5,8,4,Stevens,10,4,1,5
Drew,25,8,9,8,Haverford,2,1,0,1
Wellesley,25,9,8,8,Hunter,2,0,1,1
Denison,22,8,5,9,FDU,5,1,4,0
Tufts,21,8,5,8,Lafayette,6,1,4,1
Sacred Heart,23,8,6,9,Yeshiva,3,1,2,0
Vassar,22,4,9,9,FDU,5,5,0,0
Sacred Heart,15,7,2,6,Lafayette,12,2,7,3
Johns Hopkins,19,5,6,8,Wellesley,8,4,3,1
Cornell,19,8,4,7,Wagner,8,1,5,2
Tufts,18,9,3,6,Stevens,9,0,6,3
Yale,26,9,8,9,Hunter,1,0,1,0
Drew,24,9,9,6,Yeshiva,3,0,0,3
Yale,18,5,8,5,Tufts,9,4,1,4
Denison,18,8,3,7,Lafayette,9,1,6,2
Cornell,23,8,6,9,Drew,4,1,3,0
Wellesley,15,9,3,3,Stevens,12,0,6,6
Sacred Heart,20,8,3,9,Hunter,7,1,6,0
Vassar,19,4,9,6,Haverford,8,5,0,3
Wagner,24,6,9,9,Yeshiva,3,3,0,0
Harvard,20,9,7,4,Air Force,7,0,2,5
Northwestern,19,7,7,5,Brandeis,8,2,2,4
Ohio State,16,6,8,2,Stanford,11,3,1,7
UC San Diego,18,9,2,7,Incarnate Word,9,0,7,2
Ohio State,17,8,3,6,Air Force,10,1,6,3
Harvard,21,8,8,5,North Carolina,6,1,1,4
Stanford,18,8,2,8,Incarnate Word,9,1,7,1
UC San Diego,23,7,9,7,Brandeis,4,2,0,2
North Carolina,16,7,4,5,Brandeis,9,2,3,4
Columbia,21,6,9,6,Northwestern,6,3,0,3
Stanford,15,4,5,6,UC San Diego,12,5,4,3
UC San Diego,18,6,5,7,Air Force,9,3,4,2
Columbia,21,8,6,7,Brandeis,6,1,3,2
Stanford,18,8,3,7,Northwestern,9,1,6,2
North Carolina,18,9,2,7,Incarnate Word,9,0,7,2
Stanford,17,8,2,7,Air Force,10,1,7,2
Drew,21,8,7,6,Yeshiva,6,1,2,3
Wagner,24,6,9,9,FDU,3,3,0,0
LIU,15,6,3,6,Lafayette,12,3,6,3
Yeshiva,15,9,0,6,Cleveland State,12,0,9,3
LIU,15,9,1,5,Drew,12,0,8,4
Lafayette,16,4,8,4,FDU,11,5,1,5
Wagner,21,9,4,8,Cleveland State,6,0,5,1
LIU,25,9,9,7,Yeshiva,2,0,0,2
Drew,25,8,8,9,FDU,2,1,1,0
Wagner,20,4,9,7,Lafayette,7,5,0,2
FDU,24,9,9,6,Yeshiva,3,0,0,3
LIU,20,9,4,7,Cleveland State,7,0,5,2
LIU,20,7,7,6,FDU,7,2,2,3
Lafayette,16,9,3,4,Cleveland State,9,0,6,3
Wagner,20,6,5,9,Drew,7,3,4,0
Wagner,24,7,9,8,Yeshiva,3,2,0,1
Drew,16,6,6,4,Lafayette,11,3,3,5
FDU,16,9,1,6,Cleveland State,11,0,8,3
Drew,21,9,5,7,Cleveland State,6,0,4,2
Lafayette,24,9,9,6,Yeshiva,3,0,0,3
LIU,15,7,3,5,Wagner,12,2,6,4
Air Force,22,8,6,8,Incarnate Word,5,1,3,1
Harvard,15,4,7,4,Ohio State,12,5,2,5
Notre Dame,18,6,8,4,Stanford,9,3,1,5
UC San Diego,19,7,6,6,North Carolina,8,2,3,3
Air Force,14,6,7,1,Brandeis,13,3,2,8
Columbia,19,6,7,6,North Carolina,8,3,2,3
Notre Dame,20,8,6,6,UC San Diego,7,1,3,3
Northwestern,22,9,6,7,Incarnate Word,5,0,3,2
Northwestern,21,7,5,9,Air Force,6,2,4,0
Notre Dame,18,8,5,5,Brandeis,9,1,4,4
Columbia,20,6,7,7,Stanford,7,3,2,2
Harvard,16,8,4,4,Incarnate Word,10,1,5,4
Brandeis,15,7,2,6,Incarnate Word,12,2,7,3
Ohio State,17,6,7,4,Columbia,10,3,2,5
Northwestern,16,4,5,7,UC San Diego,11,5,4,2
Stanford,16,6,3,7,North Carolina,11,3,6,2
Notre Dame,19,7,5,7,Air Force,8,2,4,2
Stanford,19,9,5,5,Brandeis,8,0,4,4
Columbia,21,9,5,7,UC San Diego,6,0,4,2
Harvard,14,7,4,3,Northwestern,13,2,5,6
Ohio State,16,8,1,7,Incarnate Word,11,1,8,2
Columbia,20,6,6,8,Air Force,7,3,3,1
Ohio State,23,8,9,6,Brandeis,4,1,0,3
Notre Dame,20,9,5,6,Incarnate Word,7,0,4,3
Northwestern,21,7,7,7,North Carolina,6,2,2,2
Columbia,20,7,4,9,Incarnate Word,7,2,5,0
Harvard,19,7,8,4,Stanford,8,2,1,5
Notre Dame,16,5,6,5,North Carolina,11,4,3,4
Ohio State,15,7,3,5,UC San Diego,12,2,6,4
Notre Dame,16,5,3,8,Harvard,11,4,6,1
Drew,24,8,8,8,Yeshiva,3,1,1,1
Stevens,17,6,5,6,Lafayette,10,3,4,3
NJIT,15,8,6,1,Lafayette,10,1,3,6
Drew,15,3,6,6,Lafayette,12,6,3,3
Lafayette,24,9,9,6,Yeshiva,2,0,0,2
Stevens,15,3,4,8,NJIT,12,6,5,1
Stevens,15,6,4,5,Drew,12,3,5,4
Stevens,27,9,9,9,Yeshiva,0,0,0,0
NJIT,17,8,7,2,Drew,10,1,2,7
NJIT,20,9,8,3,Yeshiva,7,0,1,6
Wellesley,21,7,8,6,Drew,6,2,1,3
Stevens,14,3,3,8,NJIT,13,6,6,1
Wellesley,20,7,4,9,NJIT,7,2,5,0
LIU,15,6,3,6,Stevens,12,3,6,3
Wellesley,20,8,5,7,Stevens,7,1,4,2
LIU,20,7,8,5,Drew,7,2,1,4
LIU,14,4,5,5,Wellesley,13,5,4,4
Drew,15,4,3,8,NJIT,12,5,6,1
LIU,19,8,3,8,NJIT,8,1,6,1
Stevens,19,5,6,8,Drew,8,4,3,1
NYU,23,8,7,8,Hunter,4,1,2,1
Wayne State,14,6,8,0,Lawrence,13,3,1,9
Denison,16,6,4,6,Lawrence,11,3,5,3
Denison,15,4,2,9,Wayne State,12,5,7,0
Stevens,20,6,6,8,Hunter,7,3,3,1
Johns Hopkins,20,8,4,8,Drew,7,1,5,1
Wellesley,27,9,9,9,Yeshiva,0,0,0,0
Denison,23,9,6,8,Haverford,4,0,3,1
Vassar,24,7,9,8,CCNY,3,2,0,1
Drew,22,8,8,6,Yeshiva,5,1,1,3
Johns Hopkins,24,9,7,8,Hunter,3,0,2,1
Stevens,21,6,7,8,Haverford,6,3,2,1
Wellesley,26,9,9,8,CCNY,1,0,0,1
Denison,21,8,5,8,Vassar,6,1,4,1
Drew,17,4,7,6,Hunter,10,5,2,3
Stevens,25,9,9,7,Yeshiva,2,0,0,2
Johns Hopkins,19,7,4,8,Vassar,8,2,5,1
Denison,26,8,9,9,CCNY,1,1,0,0
Wellesley,20,8,7,5,Haverford,7,1,2,4
Johns Hopkins,27,9,9,9,Yeshiva,0,0,0,0
Stevens,20,7,5,8,Drew,7,2,4,1
Denison,22,8,5,9,Hunter,5,1,4,0
Wellesley,20,6,7,7,Vassar,7,3,2,2
Haverford,20,5,7,8,CCNY,7,4,2,1
Johns Hopkins,20,8,4,8,Stevens,7,1,5,1
Hunter,20,9,7,4,Yeshiva,7,0,2,5
Drew,26,9,8,9,CCNY,1,0,1,0
Vassar,17,5,7,5,Haverford,10,4,2,4
Wellesley,14,3,7,4,Denison,13,6,2,5
Johns Hopkins,19,4,6,9,Wellesley,8,5,3,0
Denison,14,9,2,3,Stevens,13,0,7,6
Vassar,14,7,3,4,Drew,12,1,6,5
Haverford,18,5,5,8,Hunter,9,4,4,1
Yeshiva,14,4,5,5,CCNY,13,5,4,4
NYU,18,8,4,6,Vassar,9,1,5,3
Stevens,20,6,6,8,Drew,7,3,3,1
Drew,22,6,8,8,Hunter,5,3,1,1
Stevens,27,9,9,9,Yeshiva,0,0,0,0
Drew,22,6,7,9,CCNY,5,3,2,0
Hunter,16,9,5,2,Yeshiva,4,0,4,0
Stevens,26,9,8,9,CCNY,1,0,1,0
Stevens,22,7,7,8,Hunter,5,2,2,1
Hunter,18,6,8,4,CCNY,9,3,1,5
Drew,23,9,7,7,Yeshiva,4,0,2,2
CCNY,18,8,4,6,Yeshiva,9,1,5,3
Johns Hopkins,14,4,5,5,Brandeis,13,5,4,4
Stevens,20,6,6,8,Drew,7,3,3,1
Drew,22,6,8,8,Hunter,5,3,1,1
Drew,22,6,7,9,CCNY,5,3,2,0
Stevens,27,9,9,9,Yeshiva,0,0,0,0
Stevens,26,9,8,9,CCNY,1,0,1,0
Hunter,20,9,5,6,Yeshiva,5,0,4,1
Stevens,22,7,7,8,Hunter,5,2,2,1
Hunter,18,6,8,4,CCNY,9,3,1,5
Drew,23,9,7,7,Yeshiva,4,0,2,2
CCNY,18,8,4,6,Yeshiva,9,1,5,3
Brandeis,14,2,4,8,Wellesley,13,7,5,1
Denison,15,8,3,4,Lawrence,12,1,6,5
Denison,15,5,1,9,Wayne State,12,4,8,0
Wayne State,15,7,8,0,Lawrence,12,2,1,9
MIT,25,7,9,9,Hunter,2,2,0,0
Brandeis,18,6,6,6,Stevens,9,3,3,3
MIT,14,4,5,5,NYU,13,5,4,4
Wellesley,24,8,8,8,Hunter,3,1,1,1
NYU,15,5,7,3,Brandeis,12,4,2,6
MIT,22,7,8,7,Haverford,5,2,1,2
Tufts,21,8,5,8,Stevens,6,1,4,1
Brandeis,21,7,6,8,Hunter,6,2,3,1
Wellesley,15,7,4,4,NYU,12,2,5,5
Stevens,18,6,3,9,Hunter,9,3,6,0
Wellesley,23,7,9,7,Haverford,4,2,0,2
Brandeis,24,8,7,9,Haverford,3,1,2,0
Wellesley,17,6,7,4,Stevens,10,3,2,5
MIT,20,5,8,7,Stevens,7,4,1,2
Tufts,14,6,4,4,NYU,13,3,5,5
NYU,16,5,4,7,Drew,11,4,5,2
Vassar,20,6,7,7,Hunter,7,3,2,2
Hunter,22,9,8,5,Yeshiva,5,0,1,4
Hunter,21,8,6,7,CCNY,6,1,3,2
Vassar,27,9,9,9,Yeshiva,0,0,0,0
Yeshiva,13,1,7,5,CCNY,12,7,2,3
Vassar,27,9,9,9,CCNY,0,0,0,0
Johns Hopkins,14,7,5,2,NYU,13,2,4,7
Tufts,14,5,3,6,Wellesley,13,4,6,3
NYU,18,7,6,5,Vassar,9,2,3,4
Brandeis,17,8,1,8,Drew,10,1,8,1
MIT,24,8,8,8,Lawrence,3,1,1,1
Wellesley,27,9,9,9,Yeshiva,0,0,0,0
Brandeis,22,9,5,8,Lawrence,5,0,4,1
Wellesley,17,8,7,2,Lawrence,10,1,2,7
MIT,16,5,5,6,Tufts,11,4,4,3
Brandeis,27,9,9,9,Yeshiva,0,0,0,0
Wellesley,16,8,4,4,Drew,11,1,5,5
Tufts,23,9,6,8,Lawrence,4,0,3,1
MIT,27,9,9,9,Yeshiva,0,0,0,0
MIT,23,9,5,9,Drew,4,0,4,0
Tufts,25,7,9,9,Yeshiva,2,2,0,0
Drew,17,7,9,1,Lawrence,10,2,0,8
MIT,24,9,6,9,Vassar,3,0,3,0
Brandeis,14,2,6,6,Wellesley,13,7,3,3
Tufts,17,7,4,6,Vassar,10,2,5,3
Tufts,15,4,2,9,Wellesley,12,5,7,0
MIT,15,4,6,5,Tufts,12,5,3,4
Brandeis,18,7,4,7,Vassar,9,2,5,2
MIT,21,6,6,9,Wellesley,6,3,3,0
MIT,19,6,7,6,Brandeis,8,3,2,3
Brandeis,16,6,6,4,Tufts,11,3,3,5
Wellesley,17,8,6,3,Vassar,10,1,3,6
Johns Hopkins,19,8,5,6,Stevens,8,1,4,3
MIT,21,8,6,7,Brandeis,6,1,3,2
Stevens,24,7,9,8,Yeshiva,3,2,0,1
Denison,21,9,5,7,Vassar,6,0,4,2
Wellesley,21,6,7,8,Haverford,6,3,2,1
Drew,24,9,7,8,Hunter,3,0,2,1
Johns Hopkins,27,9,9,9,Hunter,0,0,0,0
Denison,16,6,2,8,Wellesley,11,3,7,1
Vassar,24,8,9,7,Hunter,3,1,0,2
Johns Hopkins,14,3,5,6,Tufts,13,6,4,3
Drew,14,6,4,4,Vassar,13,3,5,5
Johns Hopkins,14,3,6,5,Denison,13,6,3,4
Tufts,21,9,4,8,Haverford,6,0,5,1
Tufts,18,9,3,6,Drew,9,0,6,3
Haverford,22,8,8,6,Yeshiva,5,1,1,3
Drew,25,8,9,8,Haverford,2,1,0,1
Wellesley,25,9,8,8,Hunter,2,0,1,1
Johns Hopkins,19,5,6,8,Wellesley,8,4,3,1
Tufts,18,9,3,6,Stevens,9,0,6,3
Drew,24,9,9,6,Yeshiva,3,0,0,3
Wellesley,15,9,3,3,Stevens,12,0,6,6
Vassar,19,4,9,6,Haverford,8,5,0,3
Drew,21,8,7,6,Yeshiva,6,1,2,3
Drew,24,8,8,8,Yeshiva,3,1,1,1
Stevens,15,6,4,5,Drew,12,3,5,4
Stevens,27,9,9,9,Yeshiva,0,0,0,0
Wellesley,21,7,8,6,Drew,6,2,1,3
Wellesley,20,8,5,7,Stevens,7,1,4,2
Stevens,19,5,6,8,Drew,8,4,3,1
